40 65.8115 5091.53 77.3653	40 53.3998 3869.4 72.4609
45 58.6848 5101.51 86.9307	45 49.8969 3902.24 78.2061
50 53.4118 5155.53 96.5243	50 47.7081 3946.11 82.7138
55 50.2528 5306.69 105.6	55 46.4653 3984.92 85.7612
60 46.9733 5421.28 115.412	60 45.6391 4005.59 87.7665
65 44.3255 5561.99 125.48	65 45.2584 4008 88.5581
70 42.5298 5689.6 133.779	70 45.1547 4009.77 88.8007
75 40.982 5668 138.305	75 45.1546 4008.69 88.7769
80 40.8244 5593.93 137.025	80 45.1517 4007.5 88.7565
85 41.125 5528.78 134.438	85 45.1534 4012.8 88.8703
90 40.8956 5485.14 134.125	90 45.1586 4010.29 88.8047
95 40.9235 5503.32 134.479	95 45.1524 4010.6 88.8235
100 40.9693 5490.85 134.024	100 45.1525 4009.31 88.7948
NoCap 40.8348 5492.1 134.496	0 45.1509 4008.53 88.7807
