56.25%	0.7434731454	0.7433396459	0.8579868075	0.8695846294	0.7203097713	0.5544421158	0.5591208464	0.8253325092	1.5420879246	1.5419663935	1.8645828828	1.864958219	1.4835056279	1.1080937751	1.1099632529	1.7347303945
93.75%	0.929809519	0.9297802309	0.9538536367	0.9635081035	0.9016704611	0.8999847326	0.9077273125	0.9517325887	1.0369911	1.0369583737	1.0686445931	1.0763220366	1.0021912888	1.0049058724	1.0061753208	1.0617215438
100%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
H-50%	0.8813517071	0.8812756418	0.9879333053	0.9863155388	0.9760539814	0.5883250395	0.5912160229	1.0034462301	1.0472357522	1.047264565	0.9904831339	0.9845889927	0.9754507418	1.2066384716	1.2078388219	0.9886701641
H-63%	0.8859113627	0.8858565622	0.9797358225	0.9880121441	0.9681451207	0.6229328972	0.627738716	0.9839522777	1.0080862971	1.008091753	0.9839617843	0.9761337712	0.9647052073	1.08833729	1.0895446643	0.985356012
H-69%	0.9064031042	0.9063357295	0.9915347327	0.9853332936	0.9834965393	0.6798738465	0.6832457369	0.9897622583	1.0046992329	1.0046679619	0.9875277773	0.9799440862	0.9774962548	1.0657779241	1.0678347352	0.9756391672
