1200000	56315.7	56277.2	16357.5	12540.7	8262.52	5004.28	5000.89	5873.41	841.48	840.415	233.541	189.989	122.661	76.9649	76.6617	90.3597
1300000	55463.8	55426.6	16092.2	12195.8	8174.84	5059.86	5050.33	5558.46	772.156	771.145	214.22	171.548	113.424	72.2204	71.8539	79.5479
1400000	54826.2	54790.3	15769.6	12040.7	7891.77	5122.01	5095.56	5649.27	708.728	707.78	194.859	158.681	102.012	66.2749	65.8525	76.1162
1500000	54872.9	54838.3	15671.3	11897	7959.25	5233.2	5225.56	5499.45	671.419	670.533	181.756	146.722	96.6216	66.5365	66.1323	69.342
1600000	54855.8	54822	15567.4	11769.7	7828.81	5419.46	5376.61	5458.33	630.531	629.691	168.353	136.452	89.3001	65.2302	64.8294	64.6973
1700000	55189	55155.6	15532.3	11753.9	7729.57	5643.09	5615.65	5460.31	591.986	591.196	156.213	126.862	81.9564	63.8684	63.4862	60.0174
1800000	55843.3	55811	15666	11587.5	7868.31	5894.1	5856.05	5413.65	566.572	565.819	147.604	118.501	78.7914	63.3835	63.0022	56.4356
1900000	56842.9	56810.4	15675.4	11867	7915.45	6095.12	6038.37	5545.12	539.048	538.32	138.573	112.68	74.1077	60.984	60.5962	54.0875
2100000	59364.7	59333.5	16115	12006.2	8350.63	6703.7	6708.45	5651	500.09	499.428	124.677	100.734	69.2552	60.6343	60.2591	48.8406
2200000	61913.3	61881.9	16456.4	12353.4	8753.79	7254.33	7234.89	5788.62	489.468	488.823	119.356	96.5828	68.1095	61.8184	61.4362	46.4889
2300000	63924	63892.1	16786.5	12448.1	9305.42	7658.44	7647.75	5768	476.279	475.662	114.497	90.8941	68.6848	61.6417	61.2644	43.8432
2400000	65644	65611.1	17050.6	12731.8	9617.44	7860.62	7830.03	6056.51	459.177	458.581	108.803	87.5504	66.5696	59.4167	59.088	43.1307
2500000	67823.7	67792	17468.3	12948.8	9912.03	8355.25	8309.84	6106.61	450.419	449.839	105.345	83.8596	65.4107	60.3594	59.9218	41.1757
2600000	70332.4	70299.7	17739.3	13244.9	10381.2	8879.17	8813.8	6291	436.292	435.725	99.4419	80.254	63.9137	59.9653	59.5999	39.6097
2700000	70861.3	70825.2	17843.2	13277	10468.3	9029.55	8976.67	6334.24	414.417	413.871	94.3554	75.5416	61.2206	57.4282	57.0179	37.4497
																
																
																
1200000	0.7947313978	0.794592885	0.9167357873	0.944543195	0.7892895695	0.5542114502	0.5570985677	0.9272477835	2.0305151574	2.0306206523	2.4751206608	2.515024834	2.0035902948	1.3401934938	1.3445198788	2.4128284072
1300000	0.7827093209	0.7825830354	0.901867378	0.9185659411	0.7809138064	0.5603667957	0.562606178	0.8775259542	1.863234375	1.8632496599	2.2703523063	2.2709076853	1.8527097088	1.2575772878	1.2601989901	2.124126495
1400000	0.7737114617	0.773598945	0.8837876614	0.9068840853	0.7538731217	0.5672497522	0.5676447948	0.8918623229	1.7101808082	1.7101463983	2.0651600226	2.1005776949	1.6663018657	1.1540480113	1.1549443245	2.032491582
1500000	0.7743704956	0.7742766699	0.8782785599	0.8960608571	0.7603192495	0.5795637656	0.5821267798	0.8682099194	1.6201531308	1.6201497568	1.926291447	1.9422675718	1.5782530717	1.1586032646	1.1598515554	1.8516036177
1600000	0.7741291791	0.7740465258	0.8724556133	0.8864728478	0.7478587736	0.6001915932	0.5989537323	0.8617182172	1.5214892246	1.5214668339	1.7842434031	1.8063159901	1.4586609736	1.1358566001	1.1370008366	1.7275785921
1700000	0.7788313226	0.7787567137	0.8704884774	0.8852828199	0.7383787243	0.6249580544	0.6255827606	0.862030804	1.4284790441	1.4284547601	1.6555809206	1.6793660711	1.3387062525	1.1121435114	1.1134433222	1.6026136391
1800000	0.7880648535	0.7880104821	0.877981528	0.8727498682	0.7516320702	0.6527567819	0.6523632928	0.8546644901	1.3671543397	1.3671385528	1.5643407796	1.5686853336	1.2870079679	1.1036999244	1.1049547598	1.5069706833
1900000	0.8021712839	0.8021212789	0.8785083393	0.8938013105	0.7561351891	0.6750192424	0.6726737198	0.8754199399	1.3007381454	1.3006951441	1.4686281866	1.4916284537	1.2105026739	1.0619173159	1.0627574849	1.4442705816
2100000	0.8377591153	0.8377456047	0.9031451758	0.9042856067	0.7977064089	0.74241795	0.7473205543	0.8921354417	1.2067313841	1.2067238342	1.3213552166	1.3334904212	1.1312401381	1.055827973	1.0568453065	1.3041653204
2200000	0.8737251504	0.873727148	0.9222785151	0.9304360925	0.8362188703	0.8033988405	0.8059659094	0.913861805	1.1811001962	1.1810999079	1.2649620477	1.2785379182	1.1125258491	1.0764467631	1.0774897006	1.2413690897
2300000	0.9021003002	0.9021097011	0.9407785599	0.9375687279	0.8889141503	0.8481530087	0.8519584657	0.9106064816	1.1492747643	1.1493001442	1.2134652601	1.2032323912	1.1219230128	1.0733698775	1.0744766117	1.1707223289
2400000	0.9263730696	0.9263807232	0.9555797166	0.9589365067	0.9187203271	0.8705439363	0.8722644366	0.9561541716	1.1080071522	1.1080288302	1.1531189524	1.1589693626	1.0873725511	1.0346258458	1.0363061425	1.1516968093
2500000	0.9571331601	0.9571734354	0.9789891948	0.9752805604	0.946861477	0.9253229674	0.9257152151	0.9640635656	1.0868738493	1.0869063066	1.1164702815	1.1101115147	1.0684426484	1.0510411261	1.0509296203	1.0994934539
2600000	0.9925361234	0.9925803245	0.9941770534	0.9975822852	0.9916796423	0.9833457924	0.9818563008	0.9931736088	1.0527849968	1.052803893	1.0539078844	1.0623815222	1.0439900948	1.0441786439	1.0452840248	1.0576773646
