37.5% 0.657326 1.56454
43.75% 0.600901 1.43723
50% 0.596141 1.31094
56.25% 0.613993 1.19987
62.5% 0.630225 1.18584
68.75% 0.672479 1.12304
75% 0.717092 1.07139
81.25% 0.747043 1.05255
87.5% 0.823987 1.03279
93.75% 0.90241 1.01342
100% 1 1
