37.5% 1.3173 0.532332 0.404774 0.701241
43.75% 1.25465 0.562221 0.448251 0.705391
50% 1.19797 0.560529 0.467771 0.671497
56.25% 1.11211 0.612087 0.550058 0.680708
62.5% 1.11823 0.625423 0.559266 0.699367
68.75% 1.06225 0.661278 0.622632 0.702443
75% 1.01707 0.70519 0.692857 0.717228
81.25% 1.02324 0.752976 0.735693 0.770475
87.5% 1.00853 0.834324 0.827489 0.841441
93.75% 0.99592 0.88105 0.885568 0.877455
100% 1 1 1 1
