37.5% 0.738145 1.64148
43.75% 0.664154 1.31771
50% 0.660252 1.24867
56.25% 0.671231 1.15199
62.5% 0.675962 1.12049
68.75% 0.728917 1.13292
75% 0.707684 1.02573
81.25% 0.729273 1.00171
87.5% 0.786157 0.980227
93.75% 0.892597 0.989317
100% 1 1
