covariance_--pluto-fuse_maxfuse.exe.XLoutput:Regional(EnergyStat) 10.606843 1824.785790 172.038532
covariance_--pluto-fuse_maxfuse_--pluto-parallel.exe.XLoutput:Regional(EnergyStat) 10.597548 1824.444255 172.157200
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x16x16.exe.XLoutput:Regional(EnergyStat) 3.235212 482.340405 149.090828
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x16x1.exe.XLoutput:Regional(EnergyStat) 4.551467 693.461610 152.360006
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x16x32.exe.XLoutput:Regional(EnergyStat) 3.018613 451.103955 149.440802
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x16x64.exe.XLoutput:Regional(EnergyStat) 3.096836 460.504680 148.701667
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x1x16.exe.XLoutput:Regional(EnergyStat) 3.329812 510.970425 153.453217
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x1x1.exe.XLoutput:Regional(EnergyStat) 3.983689 657.232680 164.980938
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x1x32.exe.XLoutput:Regional(EnergyStat) 3.443789 537.162555 155.980114
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x1x64.exe.XLoutput:Regional(EnergyStat) 3.428964 534.682875 155.931300
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x32x16.exe.XLoutput:Regional(EnergyStat) 3.332428 498.941070 149.722966
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x32x1.exe.XLoutput:Regional(EnergyStat) 5.137623 774.804555 150.809918
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x32x32.exe.XLoutput:Regional(EnergyStat) 3.188838 476.732715 149.500451
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x32x64.exe.XLoutput:Regional(EnergyStat) 3.298261 492.024555 149.176984
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x64x16.exe.XLoutput:Regional(EnergyStat) 3.599725 535.057005 148.638296
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x64x1.exe.XLoutput:Regional(EnergyStat) 5.594778 835.947180 149.415624
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x64x32.exe.XLoutput:Regional(EnergyStat) 3.438176 513.106365 149.237941
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_16x64x64.exe.XLoutput:Regional(EnergyStat) 3.629339 541.561290 149.217619
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x16x16.exe.XLoutput:Regional(EnergyStat) 5.613454 858.387165 152.916030
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x16x1.exe.XLoutput:Regional(EnergyStat) 7.694474 1207.543320 156.936431
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x16x32.exe.XLoutput:Regional(EnergyStat) 5.355285 824.897325 154.034244
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x16x64.exe.XLoutput:Regional(EnergyStat) 5.331040 821.876055 154.168053
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x1x16.exe.XLoutput:Regional(EnergyStat) 10.724181 1858.368630 173.287704
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x1x1.exe.XLoutput:Regional(EnergyStat) 10.603422 1832.608530 172.831806
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x1x32.exe.XLoutput:Regional(EnergyStat) 10.636694 1848.710220 173.804961
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x1x64.exe.XLoutput:Regional(EnergyStat) 10.658253 1848.901155 173.471317
covariance_--pluto-fuse_maxfuse_--pluto-parallel_--pluto-tile_1x32x16.exe.XLoutput:Regional(EnergyStat) 5.424198 827.218380 152.505210
