37.5% 0.807626 2.02054
43.75% 0.716658 1.72547
50% 0.708989 1.60413
56.25% 0.710824 1.42094
62.5% 0.715631 1.34952
68.75% 0.749214 1.25023
75% 0.789462 1.1681
81.25% 0.813393 1.13645
87.5% 0.875363 1.08078
93.75% 0.942016 1.03411
100% 1 1
