 1 64 2  
 4 64 16  
 2 32 16  
 8 8 4  
 4 16 4  
 2 32 32  
 1 128 16  
 2 128 32  
 1 64 64  
 2 32 8  
 4 64 32  
 1 128 2  
 2 8 2  
 1 8 4  
 2 32 128  
 1 8 128  
 8 64 128  
 2 2 16  
 1 16 128  
 4 4 32  
 4 8 32  
 8 8 128  
 8 4 1  
 2 128 64  
 1 16 1  
 4 1 16  
 4 1 1  
 2 2 64  
 8 1 16  
 4 4 4  
 2 4 4  
 4 4 2  
 8 4 64  
 8 1 32  
 4 4 8  
 4 4 64  
 4 2 8  
 2 32 64  
 4 8 8  
 1 4 8  
 1 4 4  
 2 2 8  
 4 2 128  
 2 1 2  
 4 2 32  
 8 4 8  
 4 4 128  
 8 4 32  
 1 2 32  
 4 4 16  
 2 4 16  
 8 4 128  
 8 2 8  
 8 2 32  
 2 2 2  
 1 4 16  
 2 1 16  
 8 1 64  
 1 1 2  
 2 2 1  
 2 1 1  
 1 2 8  
 1 4 2  
 1 2 16  
 2 4 8  
 2 4 32  
 4 1 32  
 2 1 8  
 8 2 64  
 2 4 128  
 1 4 64  
 1 2 2  
 1 4 128  
 1 1 1  
 1 1 4  
 8 4 16  
 2 1 32  
 1 2 64  
 8 2 128  
 4 2 16  
 1 2 128  
 2 4 64  
 1 4 32  
 2 1 64  
 8 1 128  
 1 2 1  
 2 1 4  
 1 1 64  
 1 1 16  
 4 1 64  
 1 4 1  
 2 2 128  
 4 2 64  
 1 1 128  
 4 1 128  
 1 1 8  
 1 2 4  
 1 1 32  
 2 2 4  
 2 1 128  
