1.2	0.7947313978	0.794592885	0.9167357873	0.944543195	0.7892895695	0.5542114502	0.5570985677	0.9272477835	2.0305151574	2.0306206523	2.4751206608	2.515024834	2.0035902948	1.3401934938	1.3445198788	2.4128284072
1.3	0.7827093209	0.7825830354	0.901867378	0.9185659411	0.7809138064	0.5603667957	0.562606178	0.8775259542	1.863234375	1.8632496599	2.2703523063	2.2709076853	1.8527097088	1.2575772878	1.2601989901	2.124126495
1.4	0.7737114617	0.773598945	0.8837876614	0.9068840853	0.7538731217	0.5672497522	0.5676447948	0.8918623229	1.7101808082	1.7101463983	2.0651600226	2.1005776949	1.6663018657	1.1540480113	1.1549443245	2.032491582
1.5	0.7743704956	0.7742766699	0.8782785599	0.8960608571	0.7603192495	0.5795637656	0.5821267798	0.8682099194	1.6201531308	1.6201497568	1.926291447	1.9422675718	1.5782530717	1.1586032646	1.1598515554	1.8516036177
1.6	0.7741291791	0.7740465258	0.8724556133	0.8864728478	0.7478587736	0.6001915932	0.5989537323	0.8617182172	1.5214892246	1.5214668339	1.7842434031	1.8063159901	1.4586609736	1.1358566001	1.1370008366	1.7275785921
1.7	0.7788313226	0.7787567137	0.8704884774	0.8852828199	0.7383787243	0.6249580544	0.6255827606	0.862030804	1.4284790441	1.4284547601	1.6555809206	1.6793660711	1.3387062525	1.1121435114	1.1134433222	1.6026136391
1.8	0.7801832594	0.7800952203	0.87881658	0.8805528357	0.7537059503	0.6096294943	0.6134591112	0.8465877516	1.3332464643	1.3331182905	1.5646799229	1.5586378896	1.281032855	0.9926046785	0.9940159143	1.4772775216
1.9	0.8021712839	0.8021212789	0.8785083393	0.8938013105	0.7561351891	0.6750192424	0.6726737198	0.8754199399	1.3007381454	1.3006951441	1.4686281866	1.4916284537	1.2105026739	1.0619173159	1.0627574849	1.4442705816
2.1	0.8261914472	0.826160745	0.9013349623	0.9042931385	0.793178453	0.6998432923	0.7037576295	0.8741206522	1.1806948074	1.180621498	1.3192567675	1.3256536796	1.1165294035	0.9823675477	0.984015546	1.2621195897
2.2	0.8737251504	0.873727148	0.9222785151	0.9304360925	0.8362188703	0.8033988405	0.8059659094	0.913861805	1.1811001962	1.1810999079	1.2649620477	1.2785379182	1.1125258491	1.0764467631	1.0774897006	1.2413690897
2.3	0.9021003002	0.9021097011	0.9407785599	0.9375687279	0.8889141503	0.8481530087	0.8519584657	0.9106064816	1.1492747643	1.1493001442	1.2134652601	1.2032323912	1.1219230128	1.0733698775	1.0744766117	1.1707223289
2.4	0.9263730696	0.9263807232	0.9555797166	0.9589365067	0.9187203271	0.8705439363	0.8722644366	0.9561541716	1.1080071522	1.1080288302	1.1531189524	1.1589693626	1.0873725511	1.0346258458	1.0363061425	1.1516968093
2.5	0.9571331601	0.9571734354	0.9789891948	0.9752805604	0.946861477	0.9253229674	0.9257152151	0.9640635656	1.0868738493	1.0869063066	1.1164702815	1.1101115147	1.0684426484	1.0510411261	1.0509296203	1.0994934539
2.6	0.9925361234	0.9925803245	0.9941770534	0.9975822852	0.9916796423	0.9833457924	0.9818563008	0.9931736088	1.0527849968	1.052803893	1.0539078844	1.0623815222	1.0439900948	1.0441786439	1.0452840248	1.0576773646
2.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
H-1.2	1.2207594272	1.2207872339	1.090589132	1.2997363862	1.2239618658	1.2593983089	1.2595316526	1.1672465836	1.6350004947	1.6355821017	1.1362147794	1.402935601	1.2830991529	2.5600488958	2.5630196833	1.221782818
H-1.8	1.2472802503	1.2473032198	1.0964120786	1.3165172855	1.2213922031	1.311947993	1.3157106143	1.2156501806	1.4874727629	1.4878839059	1.1264538119	1.4038225296	1.2630977155	2.0188339527	2.0245221238	1.2646856984
H-2.1	1.2837839554	1.2838382384	1.1151138809	1.3007155231	1.2366095737	1.4668948065	1.4715479125	1.1826312233	1.4686028807	1.4689408052	1.146346685	1.3777044701	1.2752929569	1.9773560725	1.9852888303	1.2181219075
